"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"C0805C220J5GACTU","KEMET","399-1113-1-ND","","C1","Cut Tape (CT)","Active","1","0.10000","$0.10","1023624","8 Weeks","CAP CER 22PF 50V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C220J5GACTU","KEMET","399-1113-1-ND","","C2","Cut Tape (CT)","Active","1","0.10000","$0.10","1023624","8 Weeks","CAP CER 22PF 50V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C106K8PACTU","KEMET","399-4925-1-ND","","C3,C4,C9,C10","Cut Tape (CT)","Active","4","0.16000","$0.64","434081","Not Available","CAP CER 10UF 10V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C105Z4VACTU","KEMET","399-8011-1-ND","","C5","Cut Tape (CT)","Active","1","0.11000","$0.11","95528","8 Weeks","CAP CER 1UF 16V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C104Z5VACTU","KEMET","399-1177-1-ND","","C6,C7,C8","Cut Tape (CT)","Active","3","0.10000","$0.30","1095958","8 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1206C226M9PACTU","KEMET","399-8183-1-ND","","C45","Cut Tape (CT)","Active","1","0.32000","$0.32","41996","8 Weeks","CAP CER 22UF 6.3V X5R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"STM8S003F3P6","STMicroelectronics","497-11946-5-ND","","IC1","Tube","Active","1","0.88000","$0.88","31683","8 Weeks","IC MCU 8BIT 8KB FLASH 20TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"HTSW-103-07-G-S-001","Samtec Inc.","HTSW-103-07-G-S-001-ND","","JP1","Bulk","Active","1","0.00000","$0.00","106","3 Weeks","CONN HEADER VERT 3POS 2.54MM","ROHS3 Compliant","Lead free","Not Available"
"FC4STCBMF8.0-BAG200","Fox Electronics","631-1100-ND","","Q1","Bulk","Active","1","0.35000","$0.35","2168","11 Weeks","CRYSTAL 8.0000MHZ 20PF T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-0710KL","Yageo","311-10KGRCT-ND","","R1,R28","Cut Tape (CT)","Active","2","0.10000","$0.20","17842442","33 Weeks","RES SMD 10K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB472V","Panasonic Electronic Components","P4.7KDBCT-ND","","R3,R5,R7,R9,R11,R13","Cut Tape (CT)","Active","6","0.35000","$2.10","200836","12 Weeks","RES SMD 4.7K OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","R4,R6,R8,R10,R12,R27","Cut Tape (CT)","Active","6","0.10000","$0.60","11319351","33 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB202V","Panasonic Electronic Components","P2.0KDBCT-ND","","R26","Cut Tape (CT)","Active","1","0.35000","$0.35","126722","12 Weeks","RES SMD 2K OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"DSS4240T-7","Diodes Incorporated","DSS4240TDICT-ND","","U$1,U$2,U$3,U$4,U$5","Cut Tape (CT)","Not For New Designs","5","0.39000","$1.95","264049","Not Available","TRANS NPN 40V 2A SOT-23","ROHS3 Compliant","Lead free","REACH Unaffected"
"AZ1117H-3.3TRE1","Diodes Incorporated","AZ1117H-3.3TRE1DICT-ND","","U1","Cut Tape (CT)","Active","1","0.47000","$0.47","28503","19 Weeks","IC REG LINEAR 3.3V 1A SOT223","ROHS3 Compliant","Lead free","REACH Unaffected"
"BQ24092DGQR","Texas Instruments","296-41204-1-ND","","U7","Cut Tape (CT)","Active","1","1.28000","$1.28","65123","6 Weeks","IC BATT CHARGER LI-ION 10MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
